n,macro_f1,balanced_accuracy,accuracy,macro_average_precision,false_alarm_rate,absent_test_classes,source,target,task,seed,model,train_seconds,inference_seconds
80000,0.48496461163780236,0.48252739074459405,0.894025,0.4866911451773801,0.07257425613984961,[],ids2018,unsw,binary,42,ShallowMLP,11.797015800000054,0.14365599999996448
80000,0.9865047268803393,0.9788738015454439,0.9938875,0.9871367794919563,0.0006917522950323538,[],ids2018,ids2018,binary,42,SoftVoting,35.40419089999989,0.8292412000000695
80000,0.5178055869485061,0.5139252325701148,0.9630875,0.49229552693785544,0.0004545631647986285,[],ids2018,unsw,binary,42,SoftVoting,35.40419089999989,0.518695399999956
80000,0.9828170355516317,0.977806783056033,0.992175,0.9873492482840323,0.002637305624810849,[],ids2018,ids2018,binary,42,XGBoost,5.384597600000006,0.24339239999994788
80000,0.5284189186342275,0.5195992257501147,0.9635375,0.4881309447812239,0.00042858812681013546,[],ids2018,unsw,binary,42,XGBoost,5.384597600000006,0.222013899999979
80000,0.9320917674583521,0.9387896326815038,0.9713375,0.9482832966738466,0.018632132281054734,[],ids2018,ids2018,binary,1337,DecisionTree,4.908180299999913,0.12300279999999475
80000,0.46415169204220186,0.4798035914840815,0.7666625,0.5069383632659967,0.20367990347794157,[],ids2018,unsw,binary,1337,DecisionTree,4.908180299999913,0.11442529999999351
80000,0.9846754583187589,0.9765425588950529,0.9937375,0.9847169116447021,0.0009634866882978874,[],ids2018,ids2018,binary,1337,DeepMLP,48.478080799999816,0.29536399999983587
80000,0.5065775161306446,0.5075766649940312,0.9434125,0.5580995781103214,0.011527566490059277,[],ids2018,unsw,binary,1337,DeepMLP,48.478080799999816,0.3000616000001628
80000,0.9828523318595965,0.9759264979906963,0.992975,0.9816357821883365,0.0017711152358417049,[],ids2018,ids2018,binary,1337,FeatureCNN,48.716965699999946,0.7163339000001088
80000,0.4873467090325513,0.48948831042785673,0.9205375,0.5333176198562759,0.03489744531290982,[],ids2018,unsw,binary,1337,FeatureCNN,48.716965699999946,0.735575899999958
80000,0.9864789159337786,0.9771975125351691,0.9944875,0.9870299289224436,0.0001841959845275373,[],ids2018,ids2018,binary,1337,RandomForest,20.68609460000016,0.4826674999999341
80000,0.4879803384449963,0.4999475423595447,0.95305,0.4826387613347171,0.00010491528091066464,[],ids2018,unsw,binary,1337,RandomForest,20.68609460000016,0.3434551999998803
80000,0.9775724640921095,0.9738838515988292,0.99075,0.980626878469767,0.004052311659605821,[],ids2018,ids2018,binary,1337,ShallowMLP,8.740063999999848,0.16934919999994236
80000,0.5068539962090861,0.5066450100215367,0.9150375,0.48252885011277563,0.04273986256098201,[],ids2018,unsw,binary,1337,ShallowMLP,8.740063999999848,0.16867419999994127
80000,0.9668494723049276,0.9448829630286425,0.986875,0.9872798056154952,0.0001841959845275373,[],ids2018,ids2018,binary,1337,SoftVoting,31.031367600000067,0.7835508000000573
80000,0.49679357019806714,0.5041751061231503,0.9528875,0.48911507551896855,0.0007212925562608194,[],ids2018,unsw,binary,1337,SoftVoting,31.031367600000067,0.5486066999999366
80000,0.9870356911663176,0.9779227363892864,0.9947125,0.9877007835182593,0.00011335137509386911,[],ids2018,ids2018,binary,1337,XGBoost,5.437092699999994,0.30536129999995865
80000,0.4887808142107988,0.5003346413966027,0.9530625,0.46259497592783183,0.0001311441011383308,[],ids2018,unsw,binary,1337,XGBoost,5.437092699999994,0.2711710999999468
80000,0.40197565618398856,0.3795435933100497,0.64775,0.4859242192449819,0.2691249858228422,[],unsw,ids2018,binary,7,DecisionTree,1.629029599999967,0.13497580000000653
80000,0.9576466040324281,0.9889094464173671,0.9949875,0.9695648334197355,0.0046449388180496405,[],unsw,unsw,binary,7,DecisionTree,1.629029599999967,0.13262199999996938
80000,0.4356009115681477,0.666035885010811,0.47215,0.5404535038725427,0.5879409096064421,[],unsw,ids2018,binary,7,DeepMLP,48.2012246999999,0.29154299999993327
80000,0.9536964213244093,0.9964730824503449,0.9943875,0.9843490284977883,0.005738622473269085,[],unsw,unsw,binary,7,DeepMLP,48.2012246999999,0.2946160000000191
80000,0.4389096001397976,0.6711389787135069,0.475825,0.503539613387995,0.5847085176363842,[],unsw,ids2018,binary,7,FeatureCNN,106.44857239999999,1.6463963999999578
80000,0.9544509710025935,0.9965245499164728,0.9944875,0.9826209358463041,0.005635687541013137,[],unsw,unsw,binary,7,FeatureCNN,106.44857239999999,1.3673271999998633
80000,0.4410392332697654,0.4394597194231424,0.7602625,0.43191634384622846,0.1403113303844845,[],unsw,ids2018,binary,7,RandomForest,6.64084969999999,0.31769439999993665
80000,0.9692194925620601,0.997076894430756,0.9963875,0.9894161003256969,0.0036541900950861437,[],unsw,unsw,binary,7,RandomForest,6.64084969999999,0.326447700000017
80000,0.4735039668304144,0.6149188544070372,0.552775,0.561182739329505,0.466485199047295,[],unsw,ids2018,binary,7,ShallowMLP,19.214602600000035,0.17544810000003963
80000,0.6656811830965397,0.952192692027082,0.907525,0.9803772691706998,0.09517621173715565,[],unsw,unsw,binary,7,ShallowMLP,19.214602600000035,0.20389739999995982
