source,target,model,row,true_label,baseline,ranking,advantage,sufficiency_gap
ids2018,unsw,DeepMLP,553221,0,median,signed_descending,0.007067108154296881,-0.0839234471321106
ids2018,unsw,DeepMLP,553221,0,mean,absolute,-0.010220543543497721,0.2801950494448344
ids2018,unsw,DeepMLP,553221,0,mean,signed_descending,0.012119714419047037,0.14476400216420493
ids2018,unsw,DeepMLP,664579,0,median,absolute,-0.018122545878092446,0.010359132289886474
ids2018,unsw,DeepMLP,664579,0,median,signed_descending,0.03548272450764974,-0.08107088804244995
ids2018,unsw,DeepMLP,664579,0,mean,absolute,-0.00730844736099243,0.312365972995758
ids2018,unsw,DeepMLP,664579,0,mean,signed_descending,0.016471111774444578,0.14593823353449506
ids2018,unsw,DeepMLP,1028022,1,median,absolute,-0.015095468362172444,0.8082125862439473
ids2018,unsw,DeepMLP,1028022,1,median,signed_descending,0.033804702758789065,-0.015450723965962726
ids2018,unsw,DeepMLP,1028022,1,mean,absolute,-0.00471033255259196,0.5610639413197834
ids2018,unsw,DeepMLP,1028022,1,mean,signed_descending,0.03536414702733357,0.12052163283030193
ids2018,unsw,DeepMLP,1048656,1,median,absolute,-0.0017068545023600258,0.27401792208353676
ids2018,unsw,DeepMLP,1048656,1,median,signed_descending,0.2621955037117005,-0.0016604185104370115
ids2018,unsw,DeepMLP,1048656,1,mean,absolute,0.0015456835428873702,0.3776608506838481
ids2018,unsw,DeepMLP,1048656,1,mean,signed_descending,0.1459539294242859,0.09311477343241374
ids2018,unsw,DeepMLP,1058443,1,median,absolute,-0.0009049733479817709,0.015596568584442139
ids2018,unsw,DeepMLP,1058443,1,median,signed_descending,0.010757152239481607,0.008845082918802897
ids2018,unsw,DeepMLP,1058443,1,mean,absolute,0.013003325462341309,0.28594680229822794
ids2018,unsw,DeepMLP,1058443,1,mean,signed_descending,0.4046964645385742,0.10052995284398396
ids2018,unsw,DeepMLP,1104934,0,median,absolute,0.0011288086573282877,0.057550756136576335
ids2018,unsw,DeepMLP,1104934,0,median,signed_descending,0.3420836806297302,0.0010231097539265951
ids2018,unsw,DeepMLP,1104934,0,mean,absolute,0.005431584517161052,0.431345256169637
ids2018,unsw,DeepMLP,1104934,0,mean,signed_descending,0.23623246749242147,0.024748249848683675
ids2018,unsw,DeepMLP,1236137,1,median,absolute,-0.030973748366038,-0.038655940691630045
ids2018,unsw,DeepMLP,1236137,1,median,signed_descending,0.34041015307108563,-0.04413546721140543
ids2018,unsw,DeepMLP,1236137,1,mean,absolute,0.14009268681208292,0.23674029111862183
ids2018,unsw,DeepMLP,1236137,1,mean,signed_descending,0.8829491337140402,0.052122910817464195
ids2018,unsw,DeepMLP,1245641,1,median,absolute,-0.3243309080600738,-0.3267777025699616
ids2018,unsw,DeepMLP,1245641,1,median,signed_descending,0.39786683320999144,-0.4201483130455017
ids2018,unsw,DeepMLP,1245641,1,mean,absolute,-0.4881792724132537,0.10742383599281309
ids2018,unsw,DeepMLP,1245641,1,mean,signed_descending,0.1733030915260315,-0.3256197849909464
ids2018,unsw,DeepMLP,1423118,1,median,absolute,-0.00017911593119303382,0.023096779982248943
ids2018,unsw,DeepMLP,1423118,1,median,signed_descending,0.0015007813771565754,0.012274475892384847
ids2018,unsw,DeepMLP,1423118,1,mean,absolute,0.0008732279141743978,0.4262691775957743
ids2018,unsw,DeepMLP,1423118,1,mean,signed_descending,0.006419591108957926,0.11115794976552329
ids2018,unsw,DeepMLP,1476691,1,median,absolute,-0.0010916670163472495,0.015928983688354492
ids2018,unsw,DeepMLP,1476691,1,median,signed_descending,0.14860205252965292,0.004959158102671306
ids2018,unsw,DeepMLP,1476691,1,mean,absolute,0.014347044626871744,0.27271788120269774
ids2018,unsw,DeepMLP,1476691,1,mean,signed_descending,0.29818082253138223,0.071367347240448
ids2018,unsw,DeepMLP,1547898,1,median,absolute,-0.0013855775197347004,0.018408310413360596
ids2018,unsw,DeepMLP,1547898,1,median,signed_descending,0.0322353998819987,0.009187722206115724
ids2018,unsw,DeepMLP,1547898,1,mean,absolute,0.00436036189397176,0.3264075597127279
ids2018,unsw,DeepMLP,1547898,1,mean,signed_descending,0.09829601844151814,0.08090118964513143
ids2018,unsw,DeepMLP,1563527,0,median,absolute,0.004294721285502116,-0.03569335540135702
ids2018,unsw,DeepMLP,1563527,0,median,signed_descending,0.06089293956756592,-0.07694750626881917
ids2018,unsw,DeepMLP,1563527,0,mean,absolute,0.013115227222442627,0.24748533368110656
ids2018,unsw,DeepMLP,1563527,0,mean,signed_descending,0.03712679942448934,0.13157665332158405
ids2018,unsw,DeepMLP,1849062,1,median,absolute,-0.05616065661112466,-0.020452439785003662
ids2018,unsw,DeepMLP,1849062,1,median,signed_descending,0.3092329422632853,-0.028702704111735023
ids2018,unsw,DeepMLP,1849062,1,mean,absolute,-0.0005172808965047265,0.3264634807904561
ids2018,unsw,DeepMLP,1849062,1,mean,signed_descending,0.6679659048716228,0.055870890617370605
ids2018,unsw,DeepMLP,1871037,0,median,absolute,0.03516384760538737,0.04890154600143432
ids2018,unsw,DeepMLP,1871037,0,median,signed_descending,0.8372857153415681,-0.00348891019821167
ids2018,unsw,DeepMLP,1871037,0,mean,absolute,0.08356932799021403,0.35704245169957477
ids2018,unsw,DeepMLP,1871037,0,mean,signed_descending,0.7687033613522848,0.0034417311350504556
ids2018,unsw,DeepMLP,1942006,1,median,absolute,-0.001038694381713867,0.031188972791035968
ids2018,unsw,DeepMLP,1942006,1,median,signed_descending,0.019227254390716552,0.004722011089324951
ids2018,unsw,DeepMLP,1942006,1,mean,absolute,-0.0004905064900716146,0.32616114219029746
ids2018,unsw,DeepMLP,1942006,1,mean,signed_descending,0.04759334723154704,0.054598116874694826
ids2018,unsw,DeepMLP,1971157,0,median,absolute,-0.006351971626281737,0.021554128328959143
ids2018,unsw,DeepMLP,1971157,0,median,signed_descending,0.8132818420728047,-0.07706947326660156
ids2018,unsw,DeepMLP,1971157,0,mean,absolute,0.04635739326477051,0.3874362786610921
ids2018,unsw,DeepMLP,1971157,0,mean,signed_descending,0.7687612891197203,-0.005982240041097005
ids2018,ids2018,DeepMLP,504154,1,median,absolute,-0.005631152788798014,0.017766412099202475
ids2018,ids2018,DeepMLP,504154,1,median,signed_descending,0.002958401044209798,-0.010641403992970784
ids2018,ids2018,DeepMLP,504154,1,mean,absolute,0.4354770004749298,0.150819989045461
ids2018,ids2018,DeepMLP,504154,1,mean,signed_descending,0.6765693724155426,0.13772299687067668
ids2018,ids2018,DeepMLP,526672,0,median,absolute,0.0254197359085083,0.0031177322069803875
ids2018,ids2018,DeepMLP,526672,0,median,signed_descending,0.04011936982472738,-0.03861412207285563
ids2018,ids2018,DeepMLP,526672,0,mean,absolute,0.01017920176188151,0.3063339332739512
ids2018,ids2018,DeepMLP,526672,0,mean,signed_descending,0.018276997407277427,0.17485361099243166
ids2018,ids2018,DeepMLP,863548,1,median,absolute,-0.012152715524037678,0.9820706009864807
ids2018,ids2018,DeepMLP,863548,1,median,signed_descending,0.01993002494176229,0.9739982008934022
ids2018,ids2018,DeepMLP,863548,1,mean,absolute,-0.004842694600423177,0.8169538974761963
ids2018,ids2018,DeepMLP,863548,1,mean,signed_descending,0.09336470762888589,0.32618240118026737
ids2018,ids2018,DeepMLP,1247706,1,median,absolute,0.02404372294743855,0.9416443626085917
ids2018,ids2018,DeepMLP,1247706,1,median,signed_descending,0.0815751870473226,0.9087785879770914
ids2018,ids2018,DeepMLP,1247706,1,mean,absolute,-0.0267549196879069,0.4656074404716492
ids2018,ids2018,DeepMLP,1247706,1,mean,signed_descending,0.008571656545003256,0.3263574560483297
ids2018,ids2018,DeepMLP,3202532,0,median,absolute,-0.003667151927947998,0.007255172729492187
ids2018,ids2018,DeepMLP,3202532,0,median,signed_descending,-0.003851417700449626,0.007537547747294108
ids2018,ids2018,DeepMLP,3202532,0,mean,absolute,0.10331413348515828,0.17954062620798747
ids2018,ids2018,DeepMLP,3202532,0,mean,signed_descending,0.16236125230789186,0.1820339560508728
ids2018,ids2018,DeepMLP,3228906,0,median,absolute,0.024036133289337163,0.10504585107167562
ids2018,ids2018,DeepMLP,3228906,0,median,signed_descending,0.031584795316060385,-0.03349732160568237
